Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
750000, 0.193522, 0.283070, 0.276368, 0.273427, 0.282767, 0.263112, 0.259961, 0.258537, 0.278306, 0.250672, 0.246313, 0.241825, 0.251677, 0.208285, 0.202014, 0.199394, 0.214666, 0.233993, 0.232387, 0.220739, 0.237673, 0.205318, 0.200242, 0.194389, 0.203083
775000, 0.210771, 0.307923, 0.301316, 0.298004, 0.308498, 0.289038, 0.285271, 0.268231, 0.272566, 0.248310, 0.243311, 0.249884, 0.259681, 0.226919, 0.209203, 0.206318, 0.211457, 0.231409, 0.229130, 0.218004, 0.233545, 0.201966, 0.196614, 0.200939, 0.199439
800000, 0.217859, 0.322384, 0.299842, 0.306635, 0.303608, 0.284742, 0.280206, 0.284813, 0.282849, 0.272079, 0.262575, 0.259604, 0.258131, 0.224578, 0.228867, 0.231078, 0.230896, 0.252714, 0.248118, 0.256635, 0.256163, 0.220303, 0.214838, 0.216264, 0.218110
825000, 0.225436, 0.314695, 0.308121, 0.315389, 0.311872, 0.293048, 0.288763, 0.292518, 0.291164, 0.279774, 0.274796, 0.278579, 0.277548, 0.231409, 0.224391, 0.225323, 0.225913, 0.248105, 0.243862, 0.262690, 0.262596, 0.226590, 0.214952, 0.210618, 0.224354
850000, 0.233124, 0.341994, 0.319986, 0.340889, 0.321957, 0.302334, 0.298247, 0.318956, 0.318151, 0.288026, 0.282693, 0.286003, 0.285382, 0.250610, 0.242935, 0.231557, 0.232876, 0.255561, 0.251108, 0.257763, 0.258126, 0.221903, 0.216550, 0.216682, 0.220334
875000, 0.240971, 0.351894, 0.344416, 0.349689, 0.349737, 0.311950, 0.325601, 0.327464, 0.328973, 0.296319, 0.291037, 0.279924, 0.281313, 0.245677, 0.238334, 0.237974, 0.252847, 0.276436, 0.271543, 0.276362, 0.277683, 0.240790, 0.235198, 0.234061, 0.238884
900000, 0.248328, 0.362447, 0.354251, 0.360189, 0.358734, 0.321513, 0.317650, 0.318172, 0.319305, 0.291736, 0.286249, 0.288479, 0.288936, 0.253332, 0.245701, 0.244842, 0.247378, 0.271792, 0.276291, 0.283009, 0.285665, 0.248716, 0.243134, 0.228834, 0.234099
925000, 0.243322, 0.355834, 0.348102, 0.350397, 0.350956, 0.332034, 0.327721, 0.333345, 0.329031, 0.301911, 0.296080, 0.295539, 0.297121, 0.261617, 0.253744, 0.251245, 0.254710, 0.279337, 0.275381, 0.277211, 0.279802, 0.243034, 0.237662, 0.234925, 0.240916
950000, 0.250953, 0.364356, 0.356025, 0.359996, 0.360722, 0.341275, 0.344665, 0.354770, 0.338525, 0.309376, 0.303753, 0.317523, 0.319639, 0.268698, 0.260265, 0.257899, 0.275299, 0.286939, 0.282464, 0.284313, 0.287874, 0.250033, 0.244255, 0.241119, 0.248186
975000, 0.257962, 0.374627, 0.366592, 0.369001, 0.375094, 0.351002, 0.346660, 0.345190, 0.350028, 0.317656, 0.311804, 0.310722, 0.318007, 0.276156, 0.267971, 0.265137, 0.271096, 0.295188, 0.290493, 0.291224, 0.295025, 0.257350, 0.251199, 0.247961, 0.255541
1000000, 0.265441, 0.385331, 0.377064, 0.381345, 0.384242, 0.360855, 0.355963, 0.375472, 0.359063, 0.326623, 0.320563, 0.320682, 0.325268, 0.283918, 0.275451, 0.273162, 0.278083, 0.307412, 0.312235, 0.317010, 0.302206, 0.264398, 0.258149, 0.256122, 0.261839
