Size, List.stable_sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBN.sort1 (TMC), CBN.sort2 (TMC), CBN.sort3 (TMC), CBN.sortN (TMC), CBNAcc.sort1 (TMC), CBNAcc.sort2 (TMC), CBNAcc.sort3 (TMC), CBNAcc.sortN (TMC), CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
275000, 0.059825, 0.093932, 0.086758, 0.082676, 0.074548, 0.079311, 0.077858, 0.074470, 0.069282, 0.077064, 0.074824, 0.070365, 0.060940, 0.061906, 0.059741, 0.057097, 0.051451, 0.075161, 0.067279, 0.067337, 0.058027, 0.059092, 0.055725, 0.054450, 0.048644
300000, 0.062455, 0.096813, 0.093861, 0.096617, 0.085888, 0.090688, 0.089178, 0.087514, 0.080659, 0.087204, 0.084484, 0.081446, 0.066589, 0.067168, 0.064849, 0.063323, 0.056542, 0.081130, 0.073348, 0.073463, 0.066124, 0.067331, 0.063404, 0.062939, 0.056283
325000, 0.071256, 0.109559, 0.106557, 0.104396, 0.094698, 0.098505, 0.096609, 0.094870, 0.088352, 0.093795, 0.091005, 0.087921, 0.076781, 0.076297, 0.073641, 0.068624, 0.062001, 0.087327, 0.079307, 0.079575, 0.068212, 0.069489, 0.065583, 0.065172, 0.058255
350000, 0.073347, 0.112530, 0.109513, 0.107699, 0.096753, 0.100899, 0.099040, 0.097668, 0.090531, 0.096947, 0.093918, 0.091086, 0.078941, 0.078707, 0.075918, 0.074513, 0.067141, 0.095039, 0.086275, 0.086312, 0.073807, 0.075466, 0.071365, 0.070709, 0.063338
375000, 0.079011, 0.121071, 0.117343, 0.115569, 0.104320, 0.108897, 0.106742, 0.105334, 0.098087, 0.103969, 0.100707, 0.097933, 0.085110, 0.084641, 0.081755, 0.080307, 0.072507, 0.101595, 0.097260, 0.097085, 0.083381, 0.085481, 0.080691, 0.080050, 0.071704
400000, 0.088827, 0.138526, 0.134547, 0.138051, 0.111865, 0.117758, 0.115540, 0.117081, 0.105383, 0.112906, 0.109593, 0.110990, 0.091192, 0.091615, 0.088539, 0.089137, 0.077892, 0.108100, 0.100791, 0.099104, 0.085221, 0.087398, 0.082587, 0.082710, 0.073230
425000, 0.094969, 0.146295, 0.142592, 0.145607, 0.133291, 0.132335, 0.129967, 0.130259, 0.122688, 0.124749, 0.121078, 0.121985, 0.108118, 0.102109, 0.098618, 0.098424, 0.090207, 0.114759, 0.106725, 0.104734, 0.090365, 0.092964, 0.087871, 0.087368, 0.078795
450000, 0.101664, 0.155199, 0.151255, 0.146365, 0.132455, 0.133234, 0.130986, 0.130329, 0.122105, 0.126791, 0.122943, 0.123223, 0.108302, 0.103389, 0.099898, 0.099208, 0.090243, 0.127798, 0.118581, 0.116016, 0.099858, 0.103959, 0.098188, 0.096826, 0.087398
475000, 0.108427, 0.156213, 0.152370, 0.153343, 0.139582, 0.141641, 0.138959, 0.137645, 0.128733, 0.134192, 0.136203, 0.135157, 0.119205, 0.115328, 0.111395, 0.109759, 0.099993, 0.135385, 0.125350, 0.122219, 0.105562, 0.110266, 0.104443, 0.102335, 0.092067
500000, 0.114818, 0.173748, 0.169214, 0.170898, 0.154620, 0.151268, 0.147177, 0.145584, 0.135943, 0.141848, 0.137702, 0.137164, 0.119516, 0.116160, 0.112293, 0.110690, 0.100147, 0.136506, 0.126934, 0.123927, 0.105774, 0.111109, 0.105180, 0.103482, 0.092125
525000, 0.115062, 0.194236, 0.189287, 0.178757, 0.163278, 0.164362, 0.161366, 0.152853, 0.143482, 0.165187, 0.160953, 0.149555, 0.132099, 0.133300, 0.129037, 0.122113, 0.111198, 0.150828, 0.153962, 0.136707, 0.117367, 0.124956, 0.122329, 0.114475, 0.102871
550000, 0.127246, 0.201035, 0.196169, 0.178644, 0.162081, 0.170422, 0.167397, 0.161191, 0.150343, 0.164112, 0.159220, 0.150035, 0.131664, 0.131875, 0.127520, 0.122258, 0.110754, 0.149709, 0.152043, 0.137556, 0.123369, 0.129924, 0.126778, 0.118903, 0.102841
575000, 0.126754, 0.199233, 0.194029, 0.186857, 0.178937, 0.187491, 0.184194, 0.178669, 0.167024, 0.178170, 0.173058, 0.163731, 0.144089, 0.143714, 0.139091, 0.134367, 0.122156, 0.163890, 0.165743, 0.150796, 0.129767, 0.135338, 0.132227, 0.126464, 0.113588
600000, 0.139060, 0.218545, 0.213346, 0.208750, 0.186943, 0.195633, 0.192004, 0.188995, 0.174902, 0.185706, 0.180272, 0.174126, 0.150549, 0.143132, 0.145153, 0.142213, 0.128218, 0.170891, 0.171894, 0.152996, 0.129546, 0.134003, 0.130989, 0.125910, 0.113091
625000, 0.137947, 0.215466, 0.209959, 0.205771, 0.188176, 0.192796, 0.189261, 0.187930, 0.174349, 0.184303, 0.179172, 0.172645, 0.152745, 0.148789, 0.144052, 0.140774, 0.128505, 0.169946, 0.170649, 0.157865, 0.136887, 0.146413, 0.136374, 0.130970, 0.118531
650000, 0.143542, 0.223623, 0.218067, 0.214237, 0.194727, 0.200337, 0.197037, 0.193996, 0.181465, 0.191296, 0.185675, 0.180278, 0.165427, 0.162593, 0.157308, 0.154266, 0.140137, 0.184832, 0.185222, 0.172987, 0.148804, 0.152805, 0.149214, 0.143828, 0.129355
675000, 0.157380, 0.233749, 0.228131, 0.222184, 0.213920, 0.221174, 0.217055, 0.213263, 0.199471, 0.208720, 0.202856, 0.186764, 0.164460, 0.161546, 0.163863, 0.160372, 0.146064, 0.193311, 0.194317, 0.179560, 0.155323, 0.159725, 0.155928, 0.149969, 0.134765
700000, 0.163624, 0.254351, 0.247093, 0.231550, 0.209392, 0.217260, 0.213365, 0.210296, 0.196200, 0.206486, 0.200839, 0.194579, 0.170479, 0.167623, 0.161920, 0.159201, 0.144385, 0.191725, 0.192100, 0.177730, 0.153386, 0.157754, 0.154022, 0.148275, 0.133497
725000, 0.161151, 0.251675, 0.245356, 0.240336, 0.218756, 0.225927, 0.222306, 0.218567, 0.204656, 0.214328, 0.208441, 0.201666, 0.185946, 0.182914, 0.176981, 0.173523, 0.150583, 0.200032, 0.198784, 0.185018, 0.159262, 0.164288, 0.160343, 0.154121, 0.138798
750000, 0.167402, 0.259555, 0.253161, 0.252747, 0.227088, 0.234344, 0.230332, 0.236598, 0.212543, 0.221217, 0.215294, 0.209237, 0.183612, 0.180185, 0.174249, 0.171531, 0.155830, 0.207126, 0.214709, 0.200634, 0.172665, 0.178680, 0.174185, 0.167793, 0.151305
775000, 0.181671, 0.282705, 0.276051, 0.271451, 0.247618, 0.256387, 0.239316, 0.235482, 0.220399, 0.228849, 0.222566, 0.216364, 0.190437, 0.187007, 0.180926, 0.177706, 0.161705, 0.214581, 0.212483, 0.198582, 0.179494, 0.185502, 0.171928, 0.165690, 0.149212
800000, 0.179231, 0.296331, 0.289477, 0.296092, 0.255512, 0.267471, 0.263021, 0.266019, 0.240973, 0.250671, 0.233462, 0.236216, 0.196730, 0.194951, 0.197661, 0.199356, 0.176097, 0.234083, 0.218947, 0.224732, 0.177118, 0.182671, 0.178431, 0.178983, 0.154463
825000, 0.185358, 0.290376, 0.297886, 0.304088, 0.280929, 0.275321, 0.256506, 0.258366, 0.245311, 0.247122, 0.250797, 0.252622, 0.226591, 0.210377, 0.204100, 0.204319, 0.180017, 0.230031, 0.225722, 0.229876, 0.203934, 0.188160, 0.183848, 0.183437, 0.168056
850000, 0.201545, 0.313316, 0.305673, 0.296977, 0.273158, 0.268586, 0.264477, 0.280286, 0.265167, 0.265189, 0.257690, 0.259486, 0.231788, 0.206824, 0.200143, 0.199884, 0.183817, 0.236771, 0.232069, 0.236614, 0.208177, 0.193815, 0.189382, 0.188566, 0.171929
875000, 0.198698, 0.306711, 0.299034, 0.303589, 0.279953, 0.276487, 0.271613, 0.271640, 0.256638, 0.273145, 0.254179, 0.254296, 0.227334, 0.213289, 0.206403, 0.205435, 0.198101, 0.255878, 0.245515, 0.241969, 0.213478, 0.200212, 0.195761, 0.193658, 0.176527
900000, 0.205107, 0.313052, 0.305470, 0.309280, 0.283466, 0.283128, 0.278727, 0.277536, 0.261235, 0.269104, 0.261458, 0.261790, 0.232411, 0.230456, 0.223453, 0.221918, 0.203378, 0.252043, 0.247083, 0.248159, 0.218611, 0.206666, 0.201968, 0.199005, 0.180899
925000, 0.211200, 0.324060, 0.315614, 0.317329, 0.292289, 0.293245, 0.287849, 0.285097, 0.268849, 0.278361, 0.270949, 0.268360, 0.239609, 0.238063, 0.230520, 0.227784, 0.209226, 0.270527, 0.255146, 0.254495, 0.223735, 0.213091, 0.208295, 0.204447, 0.185907
950000, 0.218170, 0.332472, 0.323834, 0.325862, 0.298936, 0.301028, 0.296018, 0.293319, 0.275580, 0.285442, 0.277673, 0.275212, 0.255697, 0.244375, 0.236774, 0.233996, 0.214371, 0.278135, 0.273990, 0.273161, 0.228861, 0.218930, 0.214032, 0.209975, 0.190687
975000, 0.224558, 0.340899, 0.332525, 0.334013, 0.306793, 0.309854, 0.304675, 0.318631, 0.299071, 0.306557, 0.298085, 0.294997, 0.262489, 0.251832, 0.243985, 0.233229, 0.219901, 0.286339, 0.281735, 0.279801, 0.245554, 0.236612, 0.231196, 0.226986, 0.206048
1000000, 0.243469, 0.351565, 0.342269, 0.344662, 0.314218, 0.318399, 0.312857, 0.310541, 0.290751, 0.301039, 0.293118, 0.291625, 0.256718, 0.246796, 0.239019, 0.246063, 0.225509, 0.294777, 0.288925, 0.290930, 0.248961, 0.231673, 0.226453, 0.223261, 0.200982
