Size, Data.List.sort, CBN.sort1, CBN.sort2, CBN.sort3, CBN.sortN, CBNAcc.sort1, CBNAcc.sort2, CBNAcc.sort3, CBNAcc.sortN, CBV.sort1, CBV.sort2, CBV.sort3, CBV.sortN, CBVAcc.sort1, CBVAcc.sort2, CBVAcc.sort3, CBVAcc.sortN
425000, 0.006963014602661133, 0.062180519104003906, 0.04009294509887695, 0.03063797950744629, 0.009552717208862305, 0.05950331687927246, 0.03895068168640137, 0.029764890670776367, 0.009451150894165039, 0.2121739387512207, 0.19768977165222168, 0.19431519508361816, 0.16727113723754883, 0.20187044143676758, 0.18800139427185059, 0.1855466365814209, 0.15995311737060547
450000, 0.0073049068450927734, 0.06513142585754395, 0.04236102104187012, 0.03245854377746582, 0.010087013244628906, 0.06295418739318848, 0.04121088981628418, 0.03146934509277344, 0.009976863861083984, 0.2260737419128418, 0.21030187606811523, 0.20517420768737793, 0.17593955993652344, 0.2152554988861084, 0.19969725608825684, 0.1960301399230957, 0.16800570487976074
475000, 0.007611751556396484, 0.06852841377258301, 0.044678688049316406, 0.034087181091308594, 0.010580778121948242, 0.0663156509399414, 0.0435185432434082, 0.03316760063171387, 0.010461568832397461, 0.2403395175933838, 0.22321271896362305, 0.21626996994018555, 0.18543028831481934, 0.2285621166229248, 0.21215009689331055, 0.20700335502624512, 0.17784571647644043
500000, 0.007759571075439453, 0.07259368896484375, 0.046910762786865234, 0.0358119010925293, 0.011106491088867188, 0.07016563415527344, 0.045688629150390625, 0.034928083419799805, 0.01102304458618164, 0.25379061698913574, 0.2369556427001953, 0.23036766052246094, 0.19540143013000488, 0.24209070205688477, 0.2250833511352539, 0.22084951400756836, 0.18776249885559082
525000, 0.00803685188293457, 0.07651901245117188, 0.049248695373535156, 0.03774690628051758, 0.011681795120239258, 0.07421445846557617, 0.04801464080810547, 0.03674793243408203, 0.011538267135620117, 0.2795088291168213, 0.2699012756347656, 0.2438814640045166, 0.20891928672790527, 0.27063798904418945, 0.2560148239135742, 0.2329411506652832, 0.20008087158203125
550000, 0.008375883102416992, 0.08047318458557129, 0.05170392990112305, 0.039644718170166016, 0.012226343154907227, 0.07783341407775879, 0.05031275749206543, 0.03841972351074219, 0.012088775634765625, 0.2903127670288086, 0.279510498046875, 0.2573564052581787, 0.218780517578125, 0.2811279296875, 0.28066182136535645, 0.25954389572143555, 0.22279047966003418
575000, 0.009352684020996094, 0.08907556533813477, 0.057488441467285156, 0.04387998580932617, 0.013491392135620117, 0.08216404914855957, 0.05331778526306152, 0.04075813293457031, 0.012794733047485352, 0.30709004402160645, 0.2966001033782959, 0.28621411323547363, 0.24558711051940918, 0.31017470359802246, 0.29190802574157715, 0.2730851173400879, 0.23443245887756348
600000, 0.009747028350830078, 0.09286046028137207, 0.05977511405944824, 0.04600954055786133, 0.014127016067504883, 0.09208941459655762, 0.058251142501831055, 0.0426640510559082, 0.013637304306030273, 0.31969380378723145, 0.30870771408081055, 0.29062652587890625, 0.2466261386871338, 0.309276819229126, 0.29060912132263184, 0.27594614028930664, 0.23524260520935059
625000, 0.009633302688598633, 0.09122681617736816, 0.05955934524536133, 0.04552268981933594, 0.014158248901367188, 0.09013915061950684, 0.06065034866333008, 0.04634284973144531, 0.014550209045410156, 0.35067152976989746, 0.33597254753112793, 0.3165750503540039, 0.2737293243408203, 0.3373379707336426, 0.31672120094299316, 0.30031633377075195, 0.2603435516357422
650000, 0.010503530502319336, 0.10030198097229004, 0.06477570533752441, 0.05024313926696777, 0.015262603759765625, 0.09879016876220703, 0.06289124488830566, 0.04906177520751953, 0.015376091003417969, 0.36510705947875977, 0.3493778705596924, 0.3295307159423828, 0.27224111557006836, 0.33570003509521484, 0.31469011306762695, 0.3131370544433594, 0.2703700065612793
675000, 0.010904073715209961, 0.10452890396118164, 0.06737279891967773, 0.05247855186462402, 0.01576089859008789, 0.10216951370239258, 0.06542062759399414, 0.05088090896606445, 0.015644311904907227, 0.3827953338623047, 0.3653733730316162, 0.34389448165893555, 0.2970409393310547, 0.3682835102081299, 0.3436596393585205, 0.32589006423950195, 0.28156232833862305
700000, 0.011519908905029297, 0.10806393623352051, 0.0703892707824707, 0.05428147315979004, 0.0166623592376709, 0.10453367233276367, 0.06869912147521973, 0.052727460861206055, 0.01655435562133789, 0.3977522850036621, 0.37865400314331055, 0.3585972785949707, 0.3085348606109619, 0.3827052116394043, 0.3565554618835449, 0.34069037437438965, 0.29266881942749023
725000, 0.011971712112426758, 0.11197829246520996, 0.07298755645751953, 0.05605340003967285, 0.01728200912475586, 0.10889101028442383, 0.0671224594116211, 0.052219390869140625, 0.016437768936157227, 0.3967154026031494, 0.37660670280456543, 0.35663628578186035, 0.3079061508178711, 0.38114190101623535, 0.3545072078704834, 0.33834362030029297, 0.2923431396484375
750000, 0.011867046356201172, 0.11635446548461914, 0.07531237602233887, 0.05551481246948242, 0.01715993881225586, 0.10706710815429688, 0.06952524185180664, 0.05397987365722656, 0.017003774642944336, 0.43076395988464355, 0.4075767993927002, 0.38867926597595215, 0.3344545364379883, 0.3952021598815918, 0.3670358657836914, 0.3519432544708252, 0.3033754825592041
775000, 0.012744903564453125, 0.1196599006652832, 0.07782936096191406, 0.06014847755432129, 0.01844000816345215, 0.11557555198669434, 0.07570552825927734, 0.05588555335998535, 0.017543315887451172, 0.4273197650909424, 0.40392565727233887, 0.3850693702697754, 0.3324861526489258, 0.40979576110839844, 0.3808252811431885, 0.36479830741882324, 0.31531643867492676
800000, 0.013097763061523438, 0.12450361251831055, 0.08044981956481934, 0.06091809272766113, 0.018715858459472656, 0.11981821060180664, 0.07736825942993164, 0.060289859771728516, 0.018912553787231445, 0.464078426361084, 0.42136263847351074, 0.42972612380981445, 0.34898900985717773, 0.44673991203308105, 0.4164247512817383, 0.4218289852142334, 0.3419051170349121
825000, 0.013050556182861328, 0.12245011329650879, 0.0792856216430664, 0.0610201358795166, 0.018856048583984375, 0.11708855628967285, 0.07725858688354492, 0.059442758560180664, 0.01867389678955078, 0.4787614345550537, 0.45357513427734375, 0.45978522300720215, 0.4080240726470947, 0.44004273414611816, 0.410247802734375, 0.41305017471313477, 0.36637425422668457
850000, 0.013402700424194336, 0.12538671493530273, 0.08157062530517578, 0.06292247772216797, 0.020246028900146484, 0.1313643455505371, 0.08324933052062988, 0.06413555145263672, 0.020026683807373047, 0.4969809055328369, 0.4673943519592285, 0.4712660312652588, 0.39844202995300293, 0.454143762588501, 0.42079877853393555, 0.42441368103027344, 0.3711216449737549
875000, 0.013759851455688477, 0.12944722175598145, 0.08392333984375, 0.06470823287963867, 0.019972562789916992, 0.1254727840423584, 0.0806419849395752, 0.06293892860412598, 0.0197296142578125, 0.5095775127410889, 0.48356056213378906, 0.4848802089691162, 0.4280383586883545, 0.46935558319091797, 0.4579033851623535, 0.43698573112487793, 0.3839080333709717
900000, 0.014104366302490234, 0.13264942169189453, 0.0863637924194336, 0.06661391258239746, 0.020488262176513672, 0.12791919708251953, 0.0840461254119873, 0.06366324424743652, 0.019884347915649414, 0.5057151317596436, 0.4773447513580322, 0.47687840461730957, 0.41875195503234863, 0.4823448657989502, 0.45140504837036133, 0.44727158546447754, 0.39284849166870117
925000, 0.014506816864013672, 0.13652300834655762, 0.08874273300170898, 0.06847095489501953, 0.021036148071289063, 0.13179492950439453, 0.08634591102600098, 0.06520318984985352, 0.020452022552490234, 0.522956132888794, 0.4935903549194336, 0.4898104667663574, 0.4305267333984375, 0.499298095703125, 0.4671666622161865, 0.48064327239990234, 0.42250752449035645
950000, 0.015438318252563477, 0.1483626365661621, 0.09542417526245117, 0.07353639602661133, 0.02257394790649414, 0.14389300346374512, 0.09207296371459961, 0.07061290740966797, 0.022318363189697266, 0.5619657039642334, 0.5296399593353271, 0.5262250900268555, 0.4614408016204834, 0.5171215534210205, 0.4797518253326416, 0.4723091125488281, 0.43241429328918457
975000, 0.015839099884033203, 0.15074372291564941, 0.09779024124145508, 0.07535290718078613, 0.023051738739013672, 0.14810824394226074, 0.09418964385986328, 0.07324624061584473, 0.022823572158813477, 0.5782716274261475, 0.545062780380249, 0.5403585433959961, 0.46952009201049805, 0.5286333560943604, 0.5152797698974609, 0.48429012298583984, 0.42461252212524414
1000000, 0.016222000122070313, 0.1473541259765625, 0.0959768295288086, 0.07387757301330566, 0.022761106491088867, 0.1441822052001953, 0.0932607650756836, 0.07189822196960449, 0.022103309631347656, 0.5696022510528564, 0.5367999076843262, 0.5351817607879639, 0.48183369636535645, 0.5682415962219238, 0.5081243515014648, 0.5011241436004639, 0.43508481979370117
